Exness,Symbol,Timestamp,Bid,Ask
exness,EURUSD,2023-05-03 00:00:00.397Z,1.10106,1.10112
exness,EURUSD,2023-05-03 00:00:00.416Z,1.10108,1.10114
exness,EURUSD,2023-05-03 00:00:00.523Z,1.10109,1.10116
exness,EURUSD,2023-05-03 00:00:04.010Z,1.10111,1.10117
exness,EURUSD,2023-05-03 00:00:04.070Z,1.10113,1.10119
exness,EURUSD,2023-05-03 00:00:04.739Z,1.10114,1.1012
exness,EURUSD,2023-05-03 00:00:05.536Z,1.10116,1.10122
exness,EURUSD,2023-05-03 00:00:07.266Z,1.10117,1.10124
exness,EURUSD,2023-05-03 00:00:08.333Z,1.10119,1.10125
exness,EURUSD,2023-05-03 00:00:08.904Z,1.1012,1.10127
exness,EURUSD,2023-05-03 00:00:09.083Z,1.10122,1.10127
exness,EURUSD,2023-05-03 00:00:15.365Z,1.1012,1.10127
exness,EURUSD,2023-05-03 00:00:15.410Z,1.10119,1.10125
exness,EURUSD,2023-05-03 00:00:15.966Z,1.10118,1.10123
exness,EURUSD,2023-05-03 00:00:24.355Z,1.10117,1.10123
exness,EURUSD,2023-05-03 00:00:27.071Z,1.10117,1.10122
exness,EURUSD,2023-05-03 00:00:28.178Z,1.10117,1.10123
exness,EURUSD,2023-05-03 00:00:30.161Z,1.10115,1.10122
exness,EURUSD,2023-05-03 00:00:30.257Z,1.10114,1.1012
exness,EURUSD,2023-05-03 00:00:34.302Z,1.10113,1.10119
exness,EURUSD,2023-05-03 00:00:34.417Z,1.10112,1.10117
exness,EURUSD,2023-05-03 00:00:37.513Z,1.10112,1.10118
exness,EURUSD,2023-05-03 00:00:39.665Z,1.10113,1.1012
exness,EURUSD,2023-05-03 00:00:39.688Z,1.10115,1.10121
exness,EURUSD,2023-05-03 00:00:39.736Z,1.10117,1.10123
exness,EURUSD,2023-05-03 00:00:42.326Z,1.10116,1.10121
exness,EURUSD,2023-05-03 00:00:44.508Z,1.10115,1.10121
exness,EURUSD,2023-05-03 00:00:46.683Z,1.10114,1.1012
exness,EURUSD,2023-05-03 00:00:50.801Z,1.10115,1.10121
