"Exness","Symbol","Timestamp","Bid","Ask"
"exness","EURUSD","2023-06-20 00:00:01.095Z",1.09234,1.09239
"exness","EURUSD","2023-06-20 00:00:01.363Z",1.09235,1.09241
"exness","EURUSD","2023-06-20 00:00:03.317Z",1.09235,1.0924
"exness","EURUSD","2023-06-20 00:00:03.782Z",1.09235,1.09241
"exness","EURUSD","2023-06-20 00:00:05.938Z",1.09236,1.09241
"exness","EURUSD","2023-06-20 00:00:06.942Z",1.09236,1.09242
"exness","EURUSD","2023-06-20 00:00:09.537Z",1.09237,1.09242
"exness","EURUSD","2023-06-20 00:00:13.704Z",1.09236,1.09242
"exness","EURUSD","2023-06-20 00:00:17.290Z",1.09235,1.09241
"exness","EURUSD","2023-06-20 00:00:17.980Z",1.09233,1.09239
"exness","EURUSD","2023-06-20 00:00:18.376Z",1.09231,1.09238
"exness","EURUSD","2023-06-20 00:00:19.452Z",1.09232,1.09237
"exness","EURUSD","2023-06-20 00:00:20.967Z",1.09231,1.09237
"exness","EURUSD","2023-06-20 00:00:22.184Z",1.09229,1.09236
"exness","EURUSD","2023-06-20 00:00:23.048Z",1.09231,1.09236
"exness","EURUSD","2023-06-20 00:00:24.550Z",1.09232,1.09237
"exness","EURUSD","2023-06-20 00:00:25.238Z",1.09232,1.09239
"exness","EURUSD","2023-06-20 00:00:25.275Z",1.09234,1.0924
"exness","EURUSD","2023-06-20 00:00:25.375Z",1.09236,1.09242
"exness","EURUSD","2023-06-20 00:00:27.490Z",1.09236,1.09243
"exness","EURUSD","2023-06-20 00:00:31.817Z",1.09237,1.09243
"exness","EURUSD","2023-06-20 00:00:31.855Z",1.09235,1.09241
"exness","EURUSD","2023-06-20 00:00:31.920Z",1.09234,1.0924
"exness","EURUSD","2023-06-20 00:00:33.343Z",1.09233,1.09238
"exness","EURUSD","2023-06-20 00:00:34.442Z",1.09232,1.09238
"exness","EURUSD","2023-06-20 00:00:35.091Z",1.09233,1.09238
"exness","EURUSD","2023-06-20 00:00:35.232Z",1.09234,1.0924
"exness","EURUSD","2023-06-20 00:00:35.310Z",1.09235,1.09242
"exness","EURUSD","2023-06-20 00:00:36.537Z",1.09236,1.09242
"exness","EURUSD","2023-06-20 00:00:37.978Z",1.09238,1.09243
"exness","EURUSD","2023-06-20 00:00:41.523Z",1.09236,1.09242
"exness","EURUSD","2023-06-20 00:00:41.552Z",1.09235,1.0924
"exness","EURUSD","2023-06-20 00:00:41.911Z",1.09234,1.0924
"exness","EURUSD","2023-06-20 00:00:42.635Z",1.09233,1.09238
"exness","EURUSD","2023-06-20 00:00:43.495Z",1.09232,1.09238
"exness","EURUSD","2023-06-20 00:00:44.499Z",1.09231,1.09238
"exness","EURUSD","2023-06-20 00:00:47.598Z",1.09231,1.09237
"exness","EURUSD","2023-06-20 00:00:55.385Z",1.09233,1.09239
"exness","EURUSD","2023-06-20 00:00:56.222Z",1.09231,1.09237
"exness","EURUSD","2023-06-20 00:00:57.490Z",1.0923,1.09236
"exness","EURUSD","2023-06-20 00:00:59.306Z",1.09229,1.09235
"exness","EURUSD","2023-06-20 00:01:00.702Z",1.0923,1.09236
"exness","EURUSD","2023-06-20 00:01:00.811Z",1.09232,1.09238
"exness","EURUSD","2023-06-20 00:01:01.894Z",1.09231,1.09237
"exness","EURUSD","2023-06-20 00:01:06.733Z",1.09232,1.09238
"exness","EURUSD","2023-06-20 00:01:10.120Z",1.09233,1.0924
"exness","EURUSD","2023-06-20 00:01:10.493Z",1.09235,1.09241
