"Exness","Symbol","Timestamp","Bid","Ask"
"exness","EURUSD","2023-06-14 00:00:00.198Z",1.07893,1.079
"exness","EURUSD","2023-06-14 00:00:02.357Z",1.07895,1.079
"exness","EURUSD","2023-06-14 00:00:04.640Z",1.07895,1.07901
"exness","EURUSD","2023-06-14 00:00:07.868Z",1.07894,1.079
"exness","EURUSD","2023-06-14 00:00:07.888Z",1.07892,1.0789900000000001
"exness","EURUSD","2023-06-14 00:00:08.727Z",1.07894,1.079
"exness","EURUSD","2023-06-14 00:00:10.897Z",1.07896,1.07901
"exness","EURUSD","2023-06-14 00:00:10.953Z",1.07896,1.07903
"exness","EURUSD","2023-06-14 00:00:32.102Z",1.07898,1.07904
"exness","EURUSD","2023-06-14 00:00:53.057Z",1.0789900000000001,1.07904
"exness","EURUSD","2023-06-14 00:00:56.602Z",1.0789900000000001,1.07906
"exness","EURUSD","2023-06-14 00:00:58.446Z",1.07897,1.07903
"exness","EURUSD","2023-06-14 00:00:59.444Z",1.07898,1.07905
"exness","EURUSD","2023-06-14 00:01:04.668Z",1.07897,1.07903
"exness","EURUSD","2023-06-14 00:01:04.725Z",1.07895,1.07901
"exness","EURUSD","2023-06-14 00:01:05.110Z",1.07895,1.079
"exness","EURUSD","2023-06-14 00:01:06.119Z",1.07894,1.079
"exness","EURUSD","2023-06-14 00:01:12.947Z",1.07891,1.07898
"exness","EURUSD","2023-06-14 00:01:13.069Z",1.07891,1.07896
"exness","EURUSD","2023-06-14 00:01:13.970Z",1.07891,1.07898
"exness","EURUSD","2023-06-14 00:01:15.092Z",1.07893,1.0789900000000001
"exness","EURUSD","2023-06-14 00:01:35.611Z",1.07891,1.07897
"exness","EURUSD","2023-06-14 00:01:36.617Z",1.0789,1.07896
"exness","EURUSD","2023-06-14 00:01:56.076Z",1.07888,1.07894
"exness","EURUSD","2023-06-14 00:02:02.845Z",1.07886,1.07893
"exness","EURUSD","2023-06-14 00:02:03.720Z",1.07886,1.07891
"exness","EURUSD","2023-06-14 00:02:06.651Z",1.07883,1.0789
"exness","EURUSD","2023-06-14 00:02:08.896Z",1.07883,1.07888
"exness","EURUSD","2023-06-14 00:02:12.372Z",1.07881,1.07887
"exness","EURUSD","2023-06-14 00:02:13.539Z",1.0788,1.07886
"exness","EURUSD","2023-06-14 00:02:13.633Z",1.07878,1.07885
"exness","EURUSD","2023-06-14 00:02:14.839Z",1.0788,1.07885
"exness","EURUSD","2023-06-14 00:02:14.961Z",1.07878,1.07884
"exness","EURUSD","2023-06-14 00:02:14.986Z",1.07876,1.07883
"exness","EURUSD","2023-06-14 00:02:15.402Z",1.07876,1.07881
"exness","EURUSD","2023-06-14 00:02:15.462Z",1.07874,1.0788
"exness","EURUSD","2023-06-14 00:02:15.482Z",1.07872,1.07879
"exness","EURUSD","2023-06-14 00:02:15.863Z",1.07872,1.07877
"exness","EURUSD","2023-06-14 00:02:20.077Z",1.07872,1.07878
"exness","EURUSD","2023-06-14 00:02:21.110Z",1.07873,1.0788
"exness","EURUSD","2023-06-14 00:02:27.156Z",1.07871,1.07877
"exness","EURUSD","2023-06-14 00:02:28.786Z",1.07873,1.07878
"exness","EURUSD","2023-06-14 00:02:28.917Z",1.07873,1.07879
"exness","EURUSD","2023-06-14 00:02:30.130Z",1.07874,1.07881
"exness","EURUSD","2023-06-14 00:02:44.548Z",1.07876,1.07881
"exness","EURUSD","2023-06-14 00:02:44.563Z",1.07877,1.07883
"exness","EURUSD","2023-06-14 00:02:44.597Z",1.07878,1.07885
"exness","EURUSD","2023-06-14 00:02:44.631Z",1.0788,1.07886
"exness","EURUSD","2023-06-14 00:02:52.242Z",1.07878,1.07884
"exness","EURUSD","2023-06-14 00:03:02.018Z",1.07879,1.07886
"exness","EURUSD","2023-06-14 00:03:06.107Z",1.07879,1.07884
"exness","EURUSD","2023-06-14 00:03:07.467Z",1.07878,1.07884
"exness","EURUSD","2023-06-14 00:03:07.693Z",1.07876,1.07882
"exness","EURUSD","2023-06-14 00:03:08.396Z",1.07876,1.07881
