"Exness","Symbol","Timestamp","Bid","Ask"
"exness","EURUSD","2023-06-08 00:00:00.207Z",1.07069,1.07074
"exness","EURUSD","2023-06-08 00:00:00.301Z",1.07069,1.07075
"exness","EURUSD","2023-06-08 00:00:00.443Z",1.07071,1.07077
"exness","EURUSD","2023-06-08 00:00:00.473Z",1.0707200000000001,1.07078
"exness","EURUSD","2023-06-08 00:00:00.542Z",1.07074,1.07079
"exness","EURUSD","2023-06-08 00:00:01.382Z",1.07074,1.0708
"exness","EURUSD","2023-06-08 00:00:01.438Z",1.07076,1.0708199999999999
"exness","EURUSD","2023-06-08 00:00:01.603Z",1.07074,1.0708
"exness","EURUSD","2023-06-08 00:00:04.149Z",1.07074,1.07079
"exness","EURUSD","2023-06-08 00:00:07.549Z",1.0707200000000001,1.07079
"exness","EURUSD","2023-06-08 00:00:08.878Z",1.0707,1.07076
"exness","EURUSD","2023-06-08 00:00:09.008Z",1.0707,1.07075
"exness","EURUSD","2023-06-08 00:00:12.817Z",1.07068,1.07074
"exness","EURUSD","2023-06-08 00:00:15.724Z",1.07066,1.0707200000000001
"exness","EURUSD","2023-06-08 00:00:15.752Z",1.07064,1.0707
"exness","EURUSD","2023-06-08 00:00:24.346Z",1.07062,1.07068
"exness","EURUSD","2023-06-08 00:00:33.887Z",1.07063,1.0707
"exness","EURUSD","2023-06-08 00:00:34.458Z",1.07065,1.0707
"exness","EURUSD","2023-06-08 00:00:34.487Z",1.07066,1.0707200000000001
"exness","EURUSD","2023-06-08 00:00:34.507Z",1.07067,1.07073
"exness","EURUSD","2023-06-08 00:00:35.571Z",1.07069,1.07075
"exness","EURUSD","2023-06-08 00:00:41.057Z",1.07067,1.07073
"exness","EURUSD","2023-06-08 00:00:41.219Z",1.07068,1.07075
"exness","EURUSD","2023-06-08 00:00:41.243Z",1.0707,1.07076
"exness","EURUSD","2023-06-08 00:00:41.351Z",1.07071,1.07078
"exness","EURUSD","2023-06-08 00:00:50.634Z",1.07069,1.07076
"exness","EURUSD","2023-06-08 00:00:51.487Z",1.07068,1.07074
"exness","EURUSD","2023-06-08 00:00:56.682Z",1.07069,1.07074
"exness","EURUSD","2023-06-08 00:00:56.707Z",1.0707,1.07076
"exness","EURUSD","2023-06-08 00:01:00.670Z",1.07069,1.07075
"exness","EURUSD","2023-06-08 00:01:01.746Z",1.07071,1.07076
"exness","EURUSD","2023-06-08 00:01:02.765Z",1.0707200000000001,1.07078
"exness","EURUSD","2023-06-08 00:01:02.788Z",1.07074,1.0708
"exness","EURUSD","2023-06-08 00:01:02.807Z",1.07075,1.0708199999999999
"exness","EURUSD","2023-06-08 00:01:02.830Z",1.07077,1.07083
"exness","EURUSD","2023-06-08 00:01:02.889Z",1.07078,1.07085
"exness","EURUSD","2023-06-08 00:01:08.814Z",1.07077,1.07083
"exness","EURUSD","2023-06-08 00:01:08.836Z",1.07075,1.0708199999999999
"exness","EURUSD","2023-06-08 00:01:08.903Z",1.07074,1.0708
"exness","EURUSD","2023-06-08 00:01:09.144Z",1.0707200000000001,1.07078
"exness","EURUSD","2023-06-08 00:01:22.866Z",1.0707,1.07076
"exness","EURUSD","2023-06-08 00:01:29.436Z",1.07071,1.07078
"exness","EURUSD","2023-06-08 00:01:31.993Z",1.07073,1.07079
"exness","EURUSD","2023-06-08 00:01:32.010Z",1.07074,1.07081
"exness","EURUSD","2023-06-08 00:01:32.044Z",1.07076,1.0708199999999999
"exness","EURUSD","2023-06-08 00:01:33.338Z",1.07077,1.07083
"exness","EURUSD","2023-06-08 00:01:54.548Z",1.07078,1.07085
"exness","EURUSD","2023-06-08 00:01:54.566Z",1.0708,1.07086
"exness","EURUSD","2023-06-08 00:01:57.187Z",1.07079,1.07085
"exness","EURUSD","2023-06-08 00:01:57.249Z",1.07077,1.07083
"exness","EURUSD","2023-06-08 00:01:58.356Z",1.07076,1.0708199999999999
"exness","EURUSD","2023-06-08 00:02:01.841Z",1.07078,1.07083
"exness","EURUSD","2023-06-08 00:02:01.969Z",1.07076,1.0708199999999999
"exness","EURUSD","2023-06-08 00:02:04.150Z",1.07074,1.0708
"exness","EURUSD","2023-06-08 00:02:06.068Z",1.07073,1.07078
"exness","EURUSD","2023-06-08 00:02:08.009Z",1.07071,1.07077
"exness","EURUSD","2023-06-08 00:02:13.964Z",1.07069,1.07075
"exness","EURUSD","2023-06-08 00:02:23.288Z",1.07067,1.07074
"exness","EURUSD","2023-06-08 00:02:23.294Z",1.07066,1.0707200000000001
"exness","EURUSD","2023-06-08 00:02:23.298Z",1.07064,1.0707
"exness","EURUSD","2023-06-08 00:02:23.325Z",1.07062,1.07068
"exness","EURUSD","2023-06-08 00:02:23.342Z",1.0706,1.07066
"exness","EURUSD","2023-06-08 00:02:23.355Z",1.07058,1.07065
"exness","EURUSD","2023-06-08 00:02:23.371Z",1.07057,1.07063
"exness","EURUSD","2023-06-08 00:02:23.376Z",1.07057,1.07062
"exness","EURUSD","2023-06-08 00:02:23.390Z",1.07057,1.07063
"exness","EURUSD","2023-06-08 00:02:23.395Z",1.07059,1.07064
"exness","EURUSD","2023-06-08 00:02:23.403Z",1.07059,1.07065
"exness","EURUSD","2023-06-08 00:02:23.434Z",1.07061,1.07067
"exness","EURUSD","2023-06-08 00:02:24.330Z",1.07062,1.07068
"exness","EURUSD","2023-06-08 00:02:25.662Z",1.07063,1.07069
"exness","EURUSD","2023-06-08 00:02:31.062Z",1.07065,1.07071
"exness","EURUSD","2023-06-08 00:02:31.753Z",1.07066,1.0707200000000001
"exness","EURUSD","2023-06-08 00:02:31.796Z",1.07068,1.07074
"exness","EURUSD","2023-06-08 00:02:32.864Z",1.07066,1.07073
"exness","EURUSD","2023-06-08 00:02:33.336Z",1.07065,1.07071
"exness","EURUSD","2023-06-08 00:02:36.434Z",1.07067,1.07073
"exness","EURUSD","2023-06-08 00:02:38.646Z",1.07066,1.07071
"exness","EURUSD","2023-06-08 00:02:38.665Z",1.07065,1.07071
"exness","EURUSD","2023-06-08 00:02:41.388Z",1.07066,1.07071
"exness","EURUSD","2023-06-08 00:02:50.218Z",1.07067,1.07073
"exness","EURUSD","2023-06-08 00:02:57.503Z",1.07068,1.07074
"exness","EURUSD","2023-06-08 00:02:58.634Z",1.07069,1.07076
"exness","EURUSD","2023-06-08 00:02:58.656Z",1.07071,1.07077
"exness","EURUSD","2023-06-08 00:03:00.045Z",1.0707200000000001,1.07078
"exness","EURUSD","2023-06-08 00:03:08.476Z",1.0707,1.07077
"exness","EURUSD","2023-06-08 00:03:08.533Z",1.0707,1.07075
"exness","EURUSD","2023-06-08 00:03:09.059Z",1.07068,1.07074
"exness","EURUSD","2023-06-08 00:03:09.137Z",1.07067,1.0707200000000001
"exness","EURUSD","2023-06-08 00:03:13.017Z",1.07066,1.0707200000000001
"exness","EURUSD","2023-06-08 00:03:29.941Z",1.07068,1.07074
"exness","EURUSD","2023-06-08 00:03:29.989Z",1.0707,1.07075
"exness","EURUSD","2023-06-08 00:03:30.085Z",1.0707,1.07077
"exness","EURUSD","2023-06-08 00:03:30.536Z",1.0707200000000001,1.07077
"exness","EURUSD","2023-06-08 00:03:30.718Z",1.0707200000000001,1.07079
"exness","EURUSD","2023-06-08 00:03:30.739Z",1.07074,1.0708
"exness","EURUSD","2023-06-08 00:03:32.087Z",1.07075,1.0708199999999999
"exness","EURUSD","2023-06-08 00:03:40.152Z",1.07073,1.0708
"exness","EURUSD","2023-06-08 00:03:40.210Z",1.07073,1.07078
"exness","EURUSD","2023-06-08 00:03:43.919Z",1.0707200000000001,1.07078
"exness","EURUSD","2023-06-08 00:03:50.987Z",1.0707,1.07076
"exness","EURUSD","2023-06-08 00:03:54.373Z",1.07071,1.07076
"exness","EURUSD","2023-06-08 00:03:55.463Z",1.07069,1.07075
"exness","EURUSD","2023-06-08 00:03:58.283Z",1.07071,1.07076
"exness","EURUSD","2023-06-08 00:04:13.130Z",1.0707200000000001,1.07078
"exness","EURUSD","2023-06-08 00:04:29.729Z",1.07074,1.0708
"exness","EURUSD","2023-06-08 00:04:30.795Z",1.07075,1.07081
"exness","EURUSD","2023-06-08 00:04:33.122Z",1.07076,1.07083
"exness","EURUSD","2023-06-08 00:04:33.147Z",1.07078,1.07084
"exness","EURUSD","2023-06-08 00:04:33.164Z",1.0708,1.07086
"exness","EURUSD","2023-06-08 00:04:33.346Z",1.07081,1.07087
"exness","EURUSD","2023-06-08 00:04:36.517Z",1.07079,1.07085
"exness","EURUSD","2023-06-08 00:04:36.981Z",1.07078,1.07084
"exness","EURUSD","2023-06-08 00:04:39.113Z",1.07076,1.0708199999999999
"exness","EURUSD","2023-06-08 00:04:51.575Z",1.07078,1.07083
"exness","EURUSD","2023-06-08 00:04:54.099Z",1.07077,1.07084
"exness","EURUSD","2023-06-08 00:04:59.336Z",1.07076,1.0708199999999999
"exness","EURUSD","2023-06-08 00:05:01.624Z",1.07075,1.0708
"exness","EURUSD","2023-06-08 00:05:01.985Z",1.07076,1.0708199999999999
"exness","EURUSD","2023-06-08 00:05:05.773Z",1.07077,1.0708199999999999
"exness","EURUSD","2023-06-08 00:05:06.877Z",1.07076,1.0708199999999999
"exness","EURUSD","2023-06-08 00:05:14.498Z",1.07078,1.07084
"exness","EURUSD","2023-06-08 00:05:14.598Z",1.07076,1.07083
"exness","EURUSD","2023-06-08 00:05:18.077Z",1.07075,1.0708199999999999
"exness","EURUSD","2023-06-08 00:05:28.537Z",1.07073,1.07079
"exness","EURUSD","2023-06-08 00:05:28.560Z",1.07071,1.07077
"exness","EURUSD","2023-06-08 00:05:30.207Z",1.07069,1.07075
"exness","EURUSD","2023-06-08 00:05:30.629Z",1.0707,1.07075
"exness","EURUSD","2023-06-08 00:05:30.635Z",1.07071,1.07077
"exness","EURUSD","2023-06-08 00:05:30.664Z",1.07073,1.0708
"exness","EURUSD","2023-06-08 00:05:30.687Z",1.07075,1.07081
"exness","EURUSD","2023-06-08 00:05:32.216Z",1.07077,1.0708199999999999
"exness","EURUSD","2023-06-08 00:05:43.142Z",1.07077,1.07083
"exness","EURUSD","2023-06-08 00:05:45.488Z",1.07079,1.07085
"exness","EURUSD","2023-06-08 00:05:48.624Z",1.07081,1.07087
"exness","EURUSD","2023-06-08 00:05:51.553Z",1.0708199999999999,1.07088
"exness","EURUSD","2023-06-08 00:05:51.655Z",1.07081,1.07086
"exness","EURUSD","2023-06-08 00:05:55.846Z",1.0708199999999999,1.07088
"exness","EURUSD","2023-06-08 00:06:33.566Z",1.07079,1.07085
"exness","EURUSD","2023-06-08 00:06:33.688Z",1.07078,1.07084
"exness","EURUSD","2023-06-08 00:06:42.093Z",1.07077,1.07083
"exness","EURUSD","2023-06-08 00:06:54.422Z",1.07075,1.0708199999999999
"exness","EURUSD","2023-06-08 00:06:57.067Z",1.07074,1.07081
"exness","EURUSD","2023-06-08 00:06:58.762Z",1.0707200000000001,1.07078
"exness","EURUSD","2023-06-08 00:07:00.097Z",1.07071,1.07077
"exness","EURUSD","2023-06-08 00:07:03.681Z",1.0707200000000001,1.07077
"exness","EURUSD","2023-06-08 00:07:07.512Z",1.0707200000000001,1.07078
"exness","EURUSD","2023-06-08 00:07:20.011Z",1.07074,1.07081
"exness","EURUSD","2023-06-08 00:07:20.416Z",1.07076,1.0708199999999999
"exness","EURUSD","2023-06-08 00:07:23.930Z",1.07077,1.0708199999999999
"exness","EURUSD","2023-06-08 00:07:25.475Z",1.07077,1.07084
"exness","EURUSD","2023-06-08 00:07:30.409Z",1.07079,1.07086
"exness","EURUSD","2023-06-08 00:07:30.413Z",1.07081,1.07087
"exness","EURUSD","2023-06-08 00:07:30.452Z",1.07083,1.07089
"exness","EURUSD","2023-06-08 00:07:32.711Z",1.07084,1.07091
"exness","EURUSD","2023-06-08 00:07:35.007Z",1.07086,1.07092
"exness","EURUSD","2023-06-08 00:07:35.754Z",1.07087,1.07094
"exness","EURUSD","2023-06-08 00:07:40.342Z",1.07089,1.07096
"exness","EURUSD","2023-06-08 00:07:44.259Z",1.07091,1.07097
"exness","EURUSD","2023-06-08 00:07:44.294Z",1.07092,1.07097
"exness","EURUSD","2023-06-08 00:08:01.580Z",1.0709,1.07096
