"Exness","Symbol","Timestamp","Bid","Ask"
"exness","EURUSD","2023-06-02 00:00:03.170Z",1.07601,1.07607
"exness","EURUSD","2023-06-02 00:00:03.377Z",1.07599,1.07605
"exness","EURUSD","2023-06-02 00:00:03.824Z",1.07601,1.07606
"exness","EURUSD","2023-06-02 00:00:05.762Z",1.07601,1.07607
"exness","EURUSD","2023-06-02 00:00:05.780Z",1.07602,1.07607
"exness","EURUSD","2023-06-02 00:00:05.881Z",1.07601,1.07607
"exness","EURUSD","2023-06-02 00:00:06.253Z",1.07599,1.07605
"exness","EURUSD","2023-06-02 00:00:06.262Z",1.07597,1.07603
"exness","EURUSD","2023-06-02 00:00:10.751Z",1.07596,1.07602
"exness","EURUSD","2023-06-02 00:00:15.452Z",1.07597,1.07603
"exness","EURUSD","2023-06-02 00:00:15.472Z",1.07599,1.07605
"exness","EURUSD","2023-06-02 00:00:15.486Z",1.076,1.07606
"exness","EURUSD","2023-06-02 00:00:15.553Z",1.07602,1.07608
"exness","EURUSD","2023-06-02 00:00:15.996Z",1.07603,1.0761
"exness","EURUSD","2023-06-02 00:00:16.020Z",1.07605,1.0761
"exness","EURUSD","2023-06-02 00:00:16.480Z",1.07605,1.07612
"exness","EURUSD","2023-06-02 00:00:16.529Z",1.07607,1.07613
"exness","EURUSD","2023-06-02 00:00:25.247Z",1.07606,1.07612
"exness","EURUSD","2023-06-02 00:00:31.552Z",1.07607,1.07613
"exness","EURUSD","2023-06-02 00:00:32.020Z",1.07609,1.07615
"exness","EURUSD","2023-06-02 00:00:32.072Z",1.0761,1.07617
"exness","EURUSD","2023-06-02 00:00:33.791Z",1.07611,1.07618
"exness","EURUSD","2023-06-02 00:00:34.692Z",1.07613,1.07618
"exness","EURUSD","2023-06-02 00:00:37.999Z",1.07612,1.07617
"exness","EURUSD","2023-06-02 00:00:38.832Z",1.0761,1.07616
"exness","EURUSD","2023-06-02 00:00:41.170Z",1.07612,1.07618
"exness","EURUSD","2023-06-02 00:00:43.275Z",1.07614,1.0762
"exness","EURUSD","2023-06-02 00:00:44.782Z",1.07616,1.07622
"exness","EURUSD","2023-06-02 00:00:44.863Z",1.07617,1.07624
"exness","EURUSD","2023-06-02 00:00:45.251Z",1.07619,1.07625
"exness","EURUSD","2023-06-02 00:00:45.264Z",1.07621,1.07627
"exness","EURUSD","2023-06-02 00:00:48.480Z",1.07618,1.07625
"exness","EURUSD","2023-06-02 00:00:48.513Z",1.07617,1.07623
"exness","EURUSD","2023-06-02 00:00:48.583Z",1.07617,1.07622
"exness","EURUSD","2023-06-02 00:01:02.154Z",1.07617,1.07623
"exness","EURUSD","2023-06-02 00:01:05.155Z",1.07619,1.07625
"exness","EURUSD","2023-06-02 00:01:05.193Z",1.07621,1.07627
"exness","EURUSD","2023-06-02 00:01:06.254Z",1.07622,1.07628
"exness","EURUSD","2023-06-02 00:01:08.260Z",1.0762,1.07626
"exness","EURUSD","2023-06-02 00:01:08.818Z",1.07619,1.07624
"exness","EURUSD","2023-06-02 00:01:19.187Z",1.07619,1.07626
"exness","EURUSD","2023-06-02 00:01:32.579Z",1.07621,1.07626
"exness","EURUSD","2023-06-02 00:01:34.423Z",1.07619,1.07625
"exness","EURUSD","2023-06-02 00:01:40.126Z",1.07619,1.07624
"exness","EURUSD","2023-06-02 00:01:40.867Z",1.07619,1.07626
"exness","EURUSD","2023-06-02 00:01:43.947Z",1.0762,1.07625
"exness","EURUSD","2023-06-02 00:01:46.064Z",1.07619,1.07625
"exness","EURUSD","2023-06-02 00:01:56.628Z",1.07618,1.07624
"exness","EURUSD","2023-06-02 00:01:56.870Z",1.07616,1.07622
"exness","EURUSD","2023-06-02 00:01:56.929Z",1.07615,1.07621
"exness","EURUSD","2023-06-02 00:02:00.474Z",1.07614,1.07619
"exness","EURUSD","2023-06-02 00:02:12.139Z",1.07615,1.07621
"exness","EURUSD","2023-06-02 00:02:12.147Z",1.07616,1.07623
"exness","EURUSD","2023-06-02 00:02:13.301Z",1.07616,1.07621
"exness","EURUSD","2023-06-02 00:02:13.818Z",1.07615,1.07621
"exness","EURUSD","2023-06-02 00:02:16.036Z",1.07615,1.0762
"exness","EURUSD","2023-06-02 00:02:28.859Z",1.07612,1.07619
"exness","EURUSD","2023-06-02 00:02:28.934Z",1.07612,1.07617
"exness","EURUSD","2023-06-02 00:02:28.987Z",1.0761,1.07616
"exness","EURUSD","2023-06-02 00:02:31.011Z",1.07609,1.07614
"exness","EURUSD","2023-06-02 00:02:32.021Z",1.07608,1.07614
"exness","EURUSD","2023-06-02 00:02:32.831Z",1.07606,1.07613
"exness","EURUSD","2023-06-02 00:02:36.158Z",1.07608,1.07614
"exness","EURUSD","2023-06-02 00:02:36.753Z",1.07609,1.07614
"exness","EURUSD","2023-06-02 00:02:40.853Z",1.07607,1.07613
"exness","EURUSD","2023-06-02 00:02:43.437Z",1.07608,1.07614
"exness","EURUSD","2023-06-02 00:03:06.346Z",1.07609,1.07616
"exness","EURUSD","2023-06-02 00:03:06.375Z",1.07611,1.07617
"exness","EURUSD","2023-06-02 00:03:06.990Z",1.07613,1.07618
"exness","EURUSD","2023-06-02 00:03:09.099Z",1.07613,1.07619
"exness","EURUSD","2023-06-02 00:03:10.515Z",1.07611,1.07617
"exness","EURUSD","2023-06-02 00:03:14.819Z",1.07614,1.0762
"exness","EURUSD","2023-06-02 00:03:21.275Z",1.07616,1.07622
"exness","EURUSD","2023-06-02 00:03:22.769Z",1.07617,1.07622
"exness","EURUSD","2023-06-02 00:03:23.090Z",1.07617,1.07624
"exness","EURUSD","2023-06-02 00:03:31.183Z",1.07619,1.07625
"exness","EURUSD","2023-06-02 00:03:32.389Z",1.0762,1.07626
"exness","EURUSD","2023-06-02 00:03:34.144Z",1.07619,1.07625
"exness","EURUSD","2023-06-02 00:03:35.435Z",1.07617,1.07624
"exness","EURUSD","2023-06-02 00:03:35.908Z",1.07616,1.07622
"exness","EURUSD","2023-06-02 00:03:37.229Z",1.07616,1.07621
"exness","EURUSD","2023-06-02 00:03:48.722Z",1.07614,1.07621
